FECHA APERTURA|MONEDA|ESTRATEGIA|PRECIO ENTRADA|VOLUMEN ($ USDT)|TOKENS COMPRADOS|DISTANCIA SL / TP|BREAKEVEN & TRAILING|FECHA/HORA CIERRE|RESULTADO & PNL
2026-06-23 03:19:55|IOTA-USDT-SWAP|AUTO_ADOPTED|0.043260|$14.97|346.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-0.4816 USDT
2026-06-23 03:19:55|DOGE-USDT-SWAP|AUTO_ADOPTED|0.082085|$0.30|3.64|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-0.4736 USDT
2026-06-23 03:19:55|NEAR-USDT-SWAP|AUTO_ADOPTED|2.064000|$14.86|7.2|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-0.2392 USDT
2026-06-23 03:22:35|XLM-USDT-SWAP|AUTO_ADOPTED|0.197920|$1.50|7.57|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-0.2337 USDT
2026-06-23 03:19:55|HMSTR-USDT-SWAP|AUTO_ADOPTED|0.000169|$3.00|17719.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-7.4428 USDT
2026-06-23 03:48:14|BOME-USDT-SWAP|AUTO_ADOPTED|0.000431|$0.15|348.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:31:10|-1.0883 USDT
2026-06-23 05:44:31|DOGE-USDT-SWAP|AUTO_ADOPTED|0.081448|$0.30|3.68|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 06:17:33|+1.4872 USDT
2026-06-23 05:44:31|BOME-USDT-SWAP|AUTO_ADOPTED|0.000426|$0.15|352.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 06:17:48|+1.5299 USDT
2026-06-23 05:44:31|HBAR-USDT-SWAP|AUTO_ADOPTED|0.078300|$1.50|19.1|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 06:20:37|+0.1186 USDT
2026-06-23 06:53:51|BOME-USDT-SWAP|AUTO_ADOPTED|0.000417|$0.15|359.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 10:09:22|+2.0128 USDT
2026-06-23 06:53:50|DOGE-USDT-SWAP|AUTO_ADOPTED|0.080290|$0.15|1.86|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 10:09:22|+1.5837 USDT
2026-06-23 06:53:50|HBAR-USDT-SWAP|AUTO_ADOPTED|0.077500|$1.50|19.3|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 10:09:22|+0.5863 USDT
2026-06-23 05:44:31|CRO-USDT-SWAP|AUTO_ADOPTED|0.057520|$14.96|260.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 10:09:22|+1.4963 USDT
2026-06-23 05:44:31|THETA-USDT-SWAP|AUTO_ADOPTED|0.148900|$14.89|100.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 10:09:22|+1.7185 USDT
2026-06-23 10:09:42|BOME-USDT-SWAP|AUTO_ADOPTED|0.000410|$0.15|365.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 10:29:52|-5.8149 USDT
2026-06-23 10:09:42|HBAR-USDT-SWAP|AUTO_ADOPTED|0.077200|$1.50|19.4|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 11:21:38|-0.9262 USDT
2026-06-23 10:09:42|CRO-USDT-SWAP|AUTO_ADOPTED|0.056310|$14.98|266.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 14:15:00|-1.4276 USDT
2026-06-23 10:09:42|NOT-USDT-SWAP|AUTO_ADOPTED|0.000395|$1.50|3799.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 15:59:11|+1.4212 USDT
2026-06-23 18:45:37|HBAR-USDT-SWAP|AUTO_ADOPTED|0.077000|$1.49|19.4|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 20:10:27|-1.3065 USDT
2026-06-23 10:09:42|DOGE-USDT-SWAP|AUTO_ADOPTED|0.079180|$0.15|1.89|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 22:40:09|+0.7710 USDT
2026-06-23 17:25:34|HMSTR-USDT-SWAP|AUTO_ADOPTED|0.000167|$3.00|17984.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 22:40:09|+3.1843 USDT
2026-06-23 20:37:38|ALGO-USDT-SWAP|AUTO_ADOPTED|0.095200|$14.95|157.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 22:40:09|+0.0075 USDT
2026-06-23 17:25:34|NOT-USDT-SWAP|AUTO_ADOPTED|0.000391|$1.50|3840.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 22:40:09|+0.8151 USDT
2026-06-23 17:52:15|LRC-USDT-SWAP|AUTO_ADOPTED|0.013900|$15.00|1079.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 22:40:09|+3.1867 USDT
2026-06-23 20:37:39|HBAR-USDT-SWAP|AUTO_ADOPTED|0.077500|$1.50|19.3|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 22:40:09|-0.3427 USDT
2026-06-23 23:45:24|HBAR-USDT-SWAP|AUTO_ADOPTED|0.077300|$3.00|38.8|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-24 00:23:40|-2.6141 USDT
2026-06-23 22:41:03|DOGE-USDT-SWAP|AUTO_ADOPTED|0.078790|$0.30|3.8|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-24 01:32:16|-2.3243 USDT
2026-06-23 22:41:03|HMSTR-USDT-SWAP|AUTO_ADOPTED|0.000165|$3.00|18180.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-24 03:36:56|-1.4719 USDT
2026-06-23 22:41:03|ALGO-USDT-SWAP|AUTO_ADOPTED|0.095400|$29.96|314.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-24 05:43:59|-2.4908 USDT
2026-06-24 03:00:23|CFX-USDT-SWAP|AUTO_ADOPTED|0.046010|$15.00|326.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-25 14:08:34|+1.8651 USDT
2026-06-26 06:49:48|ZIL-USDT-SWAP|AUTO_ADOPTED|0.002906|$3.00|1031.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-26 07:30:25|+2.0676 USDT
2026-06-26 11:00:22|ALGO-USDT-SWAP|AUTO_ADOPTED|0.082300|$29.96|364.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-26 12:33:56|-3.1980 USDT
2026-06-26 11:00:22|CHZ-USDT-SWAP|AUTO_ADOPTED|0.017660|$29.99|1698.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-26 13:53:39|-0.6120 USDT
2026-06-26 10:50:59|ZIL-USDT-SWAP|AUTO_ADOPTED|0.002897|$3.00|1034.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-26 14:18:03|-6.0737 USDT
2026-06-26 13:00:28|AI16Z-USDT-SWAP|AUTO_ADOPTED|0.047600|$6.00|126.1|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-26 14:39:29|-2.4975 USDT
2026-06-26 11:00:22|CRO-USDT-SWAP|AUTO_ADOPTED|0.062747|$2.95|47.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-26 15:59:12|-10.7958 USDT
2026-06-27 04:35:28|ZIL-USDT-SWAP|AUTO_ADOPTED|0.002983|$2.99|1004.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-27 04:49:41|-1.5345 USDT
2026-06-27 05:01:49|AI16Z-USDT-SWAP|AUTO_ADOPTED|0.039970|$29.99|750.4|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-27 05:02:29|-30.0148 USDT
2026-06-27 04:49:55|ZIL-USDT-SWAP|AUTO_ADOPTED|0.002978|$3.00|1006.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-27 05:54:17|-5.9945 USDT
2026-06-27 05:00:18|BOME-USDT-SWAP|AUTO_ADOPTED|0.000445|$0.30|674.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-27 05:54:17|-3.2215 USDT
2026-06-27 05:15:20|XLM-USDT-SWAP|AUTO_ADOPTED|0.175420|$3.00|17.1|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-27 05:54:17|+0.3435 USDT
2026-06-27 05:54:45|BOME-USDT-SWAP|AUTO_ADOPTED|0.000440|$0.30|680.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-27 05:59:42|-15.4441 USDT
2026-06-27 05:54:46|XLM-USDT-SWAP|AUTO_ADOPTED|0.174960|$3.00|17.14|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-27 06:17:56|+0.9462 USDT
2026-06-27 05:54:46|ZIL-USDT-SWAP|AUTO_ADOPTED|0.002991|$3.00|1002.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-27 06:17:56|-0.9409 USDT
2026-06-27 06:18:09|XLM-USDT-SWAP|AUTO_ADOPTED|0.174250|$3.00|17.2|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-27 06:43:52|-1.7108 USDT
2026-06-27 06:18:09|ZIL-USDT-SWAP|AUTO_ADOPTED|0.002992|$3.00|1002.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-27 06:43:53|-1.0398 USDT
2026-06-28 00:14:56|SHIB-USDT-SWAP|AUTO_ADOPTED|0.000004|$0.00|35.6|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 00:28:51|-1.0853 USDT
2026-06-28 00:42:06|CAT-USDT-SWAP|AUTO_ADOPTED|0.000001|$0.01|8274.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 01:55:05|-18.0232 USDT
2026-06-28 00:14:56|FLOKI-USDT-SWAP|AUTO_ADOPTED|0.000022|$0.00|138.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 01:55:06|-0.1811 USDT
2026-06-28 00:14:56|PEPE-USDT-SWAP|AUTO_ADOPTED|0.000002|$0.00|6.3|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 01:55:07|-0.4017 USDT
2026-06-28 00:05:01|DOGE-USDT-SWAP|AUTO_ADOPTED|0.074521|$0.75|10.05|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 01:55:07|-0.4298 USDT
2026-06-28 01:55:32|FLOKI-USDT-SWAP|AUTO_ADOPTED|0.000022|$0.00|69.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 02:04:32|-0.7228 USDT
2026-06-28 01:55:32|BOME-USDT-SWAP|AUTO_ADOPTED|0.000522|$0.15|287.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 03:56:01|-14.6789 USDT
2026-06-28 02:29:16|ZIL-USDT-SWAP|AUTO_ADOPTED|0.002910|$1.50|515.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 08:52:52|+35.8196 USDT
2026-06-28 01:55:32|DOGE-USDT-SWAP|AUTO_ADOPTED|0.074480|$0.15|2.01|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 11:12:50|-1.3315 USDT
2026-06-28 02:02:46|PEPE-USDT-SWAP|AUTO_ADOPTED|0.000002|$0.00|69.3|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 11:39:26|-10.9885 USDT
2026-06-28 14:59:01|ACT-USDT-SWAP|AUTO_ADOPTED|0.013350|$14.99|1123.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 15:47:04|-13.0580 USDT
2026-06-28 16:13:02|ACT-USDT-SWAP|AUTO_ADOPTED|0.012890|$14.99|1163.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 16:30:22|-13.0528 USDT
2026-06-28 16:30:54|ACT-USDT-SWAP|AUTO_ADOPTED|0.011800|$15.00|1271.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 17:00:50|+3.0259 USDT
2026-06-28 16:15:12|XLM-USDT-SWAP|AUTO_ADOPTED|0.170510|$1.50|8.79|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 17:00:51|-0.5015 USDT
2026-06-28 15:00:12|DOGE-USDT-SWAP|AUTO_ADOPTED|0.073600|$0.15|2.03|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 17:00:52|+0.7509 USDT
2026-06-28 17:15:19|XLM-USDT-SWAP|AUTO_ADOPTED|0.170230|$1.50|8.81|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 19:07:48|-1.6661 USDT
2026-06-28 17:30:36|FLOKI-USDT-SWAP|AUTO_ADOPTED|0.000021|$0.00|70.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-28 20:14:46|-1.6806 USDT
2026-06-28 20:15:13|PEPE-USDT-SWAP|AUTO_ADOPTED|0.000002|$0.00|6.3|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-29 01:29:28|+1.0486 USDT
2026-06-28 17:45:13|NOT-USDT-SWAP|AUTO_ADOPTED|0.000376|$1.50|3987.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-29 01:29:28|-0.9634 USDT
2026-06-28 17:30:10|SHIB-USDT-SWAP|AUTO_ADOPTED|0.000004|$0.00|36.2|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-29 01:29:29|-1.2214 USDT
2026-06-28 17:15:19|DOGE-USDT-SWAP|AUTO_ADOPTED|0.073030|$0.15|2.05|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-29 01:29:29|+0.6856 USDT
2026-06-28 19:08:06|AI16Z-USDT-SWAP|AUTO_ADOPTED|0.058750|$0.53|9.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-29 01:38:17|-0.1705 USDT
